LQFP100_pin,pad,port,io_structure,header,module_class,onboard_connection,board_loading,alternate_functions,additional_functions,ds12556_af_page
30,PA6,PA6,FT_a,P2-23,SHR-CAM,camera DVP_PCLK (DCMI_PIXCLK),direct trace to FPC,AF1:TIM1_BKIN | AF2:TIM3_CH1 | AF3:TIM8_BKIN | AF5:SPI1_MISO/I2S1_SDI | AF8:SPI6_MISO | AF9:TIM13_CH1 | AF10:TIM8_BKIN_COMP12 | AF11:MDIOS_MDC | AF12:TIM1_BKIN_COMP12 | AF13:DCMI_PIXCLK | AF14:LCD_G2 | AF15:EVENTOUT,ADC12_INP3,79
31,PA7,PA7,TT_a,P2-24,SB,camera DVP_PWDN via solder bridge SB1,SB1 [assumed open]; 10k pull-down on camera side,AF1:TIM1_CH1N | AF2:TIM3_CH2 | AF3:TIM8_CH1N | AF5:SPI1_MOSI/I2S1_SDO | AF8:SPI6_MOSI | AF9:TIM14_CH1 | AF11:ETH_MII_RX_DV/ETH_RMII_CRS_DV | AF12:FMC_SDNWE | AF15:EVENTOUT,"ADC12_INN3, ADC12_INP7, OPAMP1_VINM",79
32,PC4,PC4,TT_a,P2-25,FREE,—,header only,AF0:C2DSLEEP | AF3:DFSDM1_CKIN2 | AF5:I2S1_MCK | AF9:SPDIFRX1_IN3 | AF11:ETH_MII_RXD0/ETH_RMII_RXD0 | AF12:FMC_SDNE0 | AF15:EVENTOUT,"ADC12_INP4, OPAMP1_VOU T, COMP1_INM",81
33,PC5,PC5,TT_a,P2-26,FREE,—,header only,AF0:C2SLEEP | AF2:SAI1_D3 | AF3:DFSDM1_DATIN2 | AF9:SPDIFRX1_IN4 | AF10:SAI4_D3 | AF11:ETH_MII_RXD1/ETH_RMII_RXD1 | AF12:FMC_SDCKE0 | AF13:COMP1_OUT | AF15:EVENTOUT,"ADC12_INN4, ADC12_INP8, OPAMP1_VINM",81
34,PB0,PB0,FT_a,P2-27,FREE,—,header only,AF1:TIM1_CH2N | AF2:TIM3_CH3 | AF3:TIM8_CH2N | AF6:DFSDM1_CKOUT | AF8:UART4_CTS | AF9:LCD_R3 | AF10:OTG_HS_ULPI_D1 | AF11:ETH_MII_RXD2 | AF14:LCD_G1 | AF15:EVENTOUT,"ADC12_INN5, ADC12_INP9, OPAMP1_VINP, COMP1_INP",80
35,PB1,PB1,TT_a,P2-28,FREE,—,header only,AF1:TIM1_CH3N | AF2:TIM3_CH4 | AF3:TIM8_CH3N | AF6:DFSDM1_DATIN1 | AF9:LCD_R6 | AF10:OTG_HS_ULPI_D2 | AF11:ETH_MII_RXD3 | AF14:LCD_G0 | AF15:EVENTOUT,"ADC12_INP5, COMP1_INM",80
36,PB2,PB2,FT_ha,P2-29,OCC-QSPI,U7 W25Q64 CLK (QUADSPI_CLK),33R series to U7,AF0:RTC_OUT | AF2:SAI1_D1 | AF4:DFSDM1_CKIN1 | AF6:SAI1_SD_A | AF7:SPI3_MOSI/I2S3_SDO | AF8:SAI4_SD_A | AF9:QUADSPI_CLK | AF10:SAI4_D1 | AF11:ETH_TX_ER | AF15:EVENTOUT,COMP1_INP,80
37,PE7,PE7,TT_ha,P2-30,FREE,—,header only,AF1:TIM1_ETR | AF3:DFSDM1_DATIN2 | AF7:UART7_RX | AF10:QUADSPI_BK2_IO0 | AF12:FMC_D4/FMC_DA4 | AF15:EVENTOUT,"OPAMP2_VOU T, COMP2_INM",84
38,PE8,PE8,TT_ha,P2-31,FREE,—,header only,AF1:TIM1_CH1N | AF3:DFSDM1_CKIN2 | AF7:UART7_TX | AF10:QUADSPI_BK2_IO1 | AF12:FMC_D5/FMC_DA5 | AF13:COMP2_OUT | AF15:EVENTOUT,OPAMP2_VINM,84
39,PE9,PE9,TT_ha,P2-32,FREE,—,header only,AF1:TIM1_CH1 | AF3:DFSDM1_CKOUT | AF7:UART7_RTS/UART7_DE | AF10:QUADSPI_BK2_IO2 | AF12:FMC_D6/FMC_DA6 | AF15:EVENTOUT,"OPAMP2_VINP, COMP2_INP",84
40,PE10,PE10,FT_ha,P2-33,SHR-LCD,LCD backlight LCD_LED (gate of P-MOSFET SI2301),10k pull-up to 3V3; low = backlight on,AF1:TIM1_CH2N | AF3:DFSDM1_DATIN4 | AF7:UART7_CTS | AF10:QUADSPI_BK2_IO3 | AF12:FMC_D7/FMC_DA7 | AF15:EVENTOUT,COMP2_INM,84
41,PE11,PE11,FT_ha,P2-34,SHR-LCD,LCD_CS,100k pull-up to 3V3,AF1:TIM1_CH2 | AF3:DFSDM1_CKIN4 | AF5:SPI4_NSS | AF10:SAI2_SD_B | AF12:FMC_D8/FMC_DA8 | AF14:LCD_G3 | AF15:EVENTOUT,COMP2_INP,84
42,PE12,PE12,FT_h,P2-35,SHR-LCD,LCD_SCL (SPI4_SCK),direct to FPC J3,AF1:TIM1_CH3N | AF3:DFSDM1_DATIN5 | AF5:SPI4_SCK | AF10:SAI2_SCK_B | AF12:FMC_D9/FMC_DA9 | AF13:COMP1_OUT | AF14:LCD_B4 | AF15:EVENTOUT,-,84
43,PE13,PE13,FT_h,P2-36,SHR-LCD,LCD_WR_RS (D/C),direct to FPC J3,AF1:TIM1_CH3 | AF3:DFSDM1_CKIN5 | AF5:SPI4_MISO | AF10:SAI2_FS_B | AF12:FMC_D10/FMC_DA10 | AF13:COMP2_OUT | AF14:LCD_DE | AF15:EVENTOUT,-,84
44,PE14,PE14,FT_h,P2-37,SHR-LCD,LCD_SDA (SPI4_MOSI),direct to FPC J3,AF1:TIM1_CH4 | AF5:SPI4_MOSI | AF10:SAI2_MCLK_B | AF12:FMC_D11/FMC_DA11 | AF14:LCD_CLK | AF15:EVENTOUT,-,84
45,PE15,PE15,FT_h,P2-38,FREE,—,header only,AF1:TIM1_BKIN | AF12:FMC_D12/FMC_DA12 | AF13:TIM1_BKIN_COMP12/COMP_TIM1_BKIN | AF14:LCD_R7 | AF15:EVENTOUT,-,84
46,PB10,PB10,FT_f,P2-39,FREE,—,header only,AF1:TIM2_CH3 | AF2:HRTIM_SCOUT | AF3:LPTIM2_IN1 | AF4:I2C2_SCL | AF5:SPI2_SCK/I2S2_CK | AF6:DFSDM1_DATIN7 | AF7:USART3_TX | AF9:QUADSPI_BK1_NCS | AF10:OTG_HS_ULPI_D3 | AF11:ETH_MII_RX_ER | AF14:LCD_G4 | AF15:EVENTOUT,-,81
47,PB11,PB11,FT_f,P2-40,FREE,—,header only,AF1:TIM2_CH4 | AF2:HRTIM_SCIN | AF3:LPTIM2_ETR | AF4:I2C2_SDA | AF6:DFSDM1_CKIN7 | AF7:USART3_RX | AF10:OTG_HS_ULPI_D4 | AF11:ETH_MII_TX_EN/ETH_RMII_TX_EN | AF14:LCD_G5 | AF15:EVENTOUT,-,81
51,PB12,PB12,FT_u,P1-44,FREE,—,header only,AF1:TIM1_BKIN | AF4:I2C2_SMBA | AF5:SPI2_NSS/I2S2_WS | AF6:DFSDM1_DATIN1 | AF7:USART3_CK | AF9:FDCAN2_RX | AF10:OTG_HS_ULPI_D5 | AF11:ETH_MII_TXD0/ETH_RMII_TXD0 | AF12:OTG_HS_ID | AF13:TIM1_BKIN_COMP12 | AF14:UART5_RX | AF15:EVENTOUT,-,81
52,PB13,PB13,FT_u,P1-43,FREE,—,header only,AF1:TIM1_CH1N | AF3:LPTIM2_OUT | AF5:SPI2_SCK/I2S2_CK | AF6:DFSDM1_CKIN1 | AF7:USART3_CTS/USART3_NSS | AF9:FDCAN2_TX | AF10:OTG_HS_ULPI_D6 | AF11:ETH_MII_TXD1/ETH_RMII_TXD1 | AF14:UART5_TX | AF15:EVENTOUT,OTG_HS_VBU S,81
53,PB14,PB14,FT_u,P1-42,FREE,—,header only,AF1:TIM1_CH2N | AF2:TIM12_CH1 | AF3:TIM8_CH2N | AF4:USART1_TX | AF5:SPI2_MISO/I2S2_SDI | AF6:DFSDM1_DATIN2 | AF7:USART3_RTS/USART3_DE | AF8:UART4_RTS/UART4_DE | AF9:SDMMC2_D0 | AF12:OTG_HS_DM | AF15:EVENTOUT,-,81
54,PB15,PB15,FT_u,P1-41,FREE,—,header only,AF0:RTC_REFIN | AF1:TIM1_CH3N | AF2:TIM12_CH2 | AF3:TIM8_CH3N | AF4:USART1_RX | AF5:SPI2_MOSI/I2S2_SDO | AF6:DFSDM1_CKIN2 | AF8:UART4_CTS | AF9:SDMMC2_D1 | AF12:OTG_HS_DP | AF15:EVENTOUT,-,81
55,PD8,PD8,FT_h,P1-40,FREE,—,header only,AF3:DFSDM1_CKIN3 | AF6:SAI3_SCK_B | AF7:USART3_TX | AF9:SPDIFRX1_IN2 | AF12:FMC_D13/FMC_DA13 | AF15:EVENTOUT,-,83
56,PD9,PD9,FT_h,P1-39,FREE,—,header only,AF3:DFSDM1_DATIN3 | AF6:SAI3_SD_B | AF7:USART3_RX | AF12:FMC_D14/FMC_DA14 | AF15:EVENTOUT,-,83
57,PD10,PD10,FT_h,P1-38,FREE,—,header only,AF3:DFSDM1_CKOUT | AF6:SAI3_FS_B | AF7:USART3_CK | AF12:FMC_D15/FMC_DA15 | AF14:LCD_B3 | AF15:EVENTOUT,-,83
58,PD11,PD11,FT_h,P1-37,OCC-QSPI,U7 IO0 (QUADSPI_BK1_IO0),33R series,AF3:LPTIM2_IN2 | AF4:I2C4_SMBA | AF7:USART3_CTS/USART3_NSS | AF9:QUADSPI_BK1_IO0 | AF10:SAI2_SD_A | AF12:FMC_A16 | AF15:EVENTOUT,-,83
59,PD12,PD12,FT_fh,P1-36,OCC-QSPI,U7 IO1 (QUADSPI_BK1_IO1),33R series,AF1:LPTIM1_IN1 | AF2:TIM4_CH1 | AF3:LPTIM2_IN1 | AF4:I2C4_SCL | AF7:USART3_RTS/USART3_DE | AF9:QUADSPI_BK1_IO1 | AF10:SAI2_FS_A | AF12:FMC_A17 | AF15:EVENTOUT,-,83
60,PD13,PD13,FT_fh,P1-35,OCC-QSPI,U7 IO3/nHOLD (QUADSPI_BK1_IO3),33R series,AF1:LPTIM1_OUT | AF2:TIM4_CH2 | AF4:I2C4_SDA | AF9:QUADSPI_BK1_IO3 | AF10:SAI2_SCK_A | AF12:FMC_A18 | AF15:EVENTOUT,-,83
61,PD14,PD14,FT_h,P1-34,FREE,—,header only,AF2:TIM4_CH3 | AF6:SAI3_MCLK_B | AF8:UART8_CTS | AF12:FMC_D0/FMC_DA0 | AF15:EVENTOUT,-,83
62,PD15,PD15,FT_h,P1-33,FREE,—,header only,AF2:TIM4_CH4 | AF6:SAI3_MCLK_A | AF8:UART8_RTS/UART8_DE | AF12:FMC_D1/FMC_DA1 | AF15:EVENTOUT,-,83
63,PC6,PC6,FT_h,P1-32,SHR-CAM,camera FPC J2 DVP_D0 (DCMI_D0),direct trace to FPC,AF1:HRTIM_CHA1 | AF2:TIM3_CH1 | AF3:TIM8_CH1 | AF4:DFSDM1_CKIN3 | AF5:I2S2_MCK | AF7:USART6_TX | AF8:SDMMC1_D0DIR | AF9:FMC_NWAIT | AF10:SDMMC2_D6 | AF12:SDMMC1_D6 | AF13:DCMI_D0 | AF14:LCD_HSYNC | AF15:EVENTOUT,SWPMI_IO,82
64,PC7,PC7,FT_h,P1-31,SHR-CAM,camera DVP_D1 (DCMI_D1),direct trace to FPC,AF0:TRGIO | AF1:HRTIM_CHA2 | AF2:TIM3_CH2 | AF3:TIM8_CH2 | AF4:DFSDM1_DATIN3 | AF6:I2S3_MCK | AF7:USART6_RX | AF8:SDMMC1_D123DIR | AF9:FMC_NE1 | AF10:SDMMC2_D7 | AF11:SWPMI_TX | AF12:SDMMC1_D7 | AF13:DCMI_D1 | AF14:LCD_G6 | AF15:EVENTOUT,-,82
65,PC8,PC8,FT_h,P1-30,SHR-SD,microSD DAT0 (SDMMC1_D0),22R series; 47k pull-up; ESD,AF0:TRACED1 | AF1:HRTIM_CHB1 | AF2:TIM3_CH3 | AF3:TIM8_CH3 | AF7:USART6_CK | AF8:UART5_RTS/UART5_DE | AF9:FMC_NE2/FMC_NCE | AF11:SWPMI_RX | AF12:SDMMC1_D0 | AF13:DCMI_D2 | AF15:EVENTOUT,-,82
66,PC9,PC9,FT_fh,P1-29,SHR-SD,microSD DAT1 (SDMMC1_D1),22R series; 47k pull-up; ESD,AF0:MCO2 | AF2:TIM3_CH4 | AF3:TIM8_CH4 | AF4:I2C3_SDA | AF5:I2S_CKIN | AF8:UART5_CTS | AF9:QUADSPI_BK1_IO0 | AF10:LCD_G3 | AF11:SWPMI_SUSPEND | AF12:SDMMC1_D1 | AF13:DCMI_D3 | AF14:LCD_B2 | AF15:EVENTOUT,-,82
67,PA8,PA8,FT_fha,P1-28,SHR-CAM,camera DVP_XCLK (RCC_MCO_1),33R series (R15) to FPC,AF0:MCO1 | AF1:TIM1_CH1 | AF2:HRTIM_CHB2 | AF3:TIM8_BKIN2 | AF4:I2C3_SCL | AF7:USART1_CK | AF10:OTG_FS_SOF | AF11:UART7_RX | AF12:TIM8_BKIN2_COMP12 | AF13:LCD_B3 | AF14:LCD_R6 | AF15:EVENTOUT,-,79
68,PA9,PA9,FT_u,P1-27,FREE,—,header only,AF1:TIM1_CH2 | AF2:HRTIM_CHC1 | AF3:LPUART1_TX | AF4:I2C3_SMBA | AF5:SPI2_SCK/I2S2_CK | AF7:USART1_TX | AF11:ETH_TX_ER | AF13:DCMI_D0 | AF14:LCD_R5 | AF15:EVENTOUT,OTG_FS_VBUS,79
69,PA10,PA10,FT_u,P1-26,FREE,—,header only,AF1:TIM1_CH3 | AF2:HRTIM_CHC2 | AF3:LPUART1_RX | AF7:USART1_RX | AF10:OTG_FS_ID | AF11:MDIOS_MDIO | AF12:LCD_B4 | AF13:DCMI_D1 | AF14:LCD_B1 | AF15:EVENTOUT,-,79
70,PA11,PA11,FT_u,P1-25,SHR-USB,USB-C D- (OTG_FS_DM),ESD diode; to connector,AF1:TIM1_CH4 | AF2:HRTIM_CHD1 | AF3:LPUART1_CTS | AF5:SPI2_NSS/I2S2_WS | AF6:UART4_RX | AF7:USART1_CTS/USART1_NSS | AF9:FDCAN1_RX | AF10:OTG_FS_DM | AF14:LCD_R4 | AF15:EVENTOUT,-,79
71,PA12,PA12,FT_u,P1-24,SHR-USB,USB-C D+ (OTG_FS_DP),ESD diode; to connector,AF1:TIM1_ETR | AF2:HRTIM_CHD2 | AF3:LPUART1_RTS/LPUART1_DE | AF5:SPI2_SCK/I2S2_CK | AF6:UART4_TX | AF7:USART1_RTS/USART1_DE | AF8:SAI2_FS_B | AF9:FDCAN1_TX | AF10:OTG_FS_DP | AF14:LCD_R5 | AF15:EVENTOUT,-,80
72,PA13,PA13,FT,P3-2,SWD,SWDIO on P3-2,22R series,AF0:JTMS-SWDIO | AF15:EVENTOUT,-,80
76,PA14,PA14,FT,P3-3,SWD,SWCLK on P3-3,22R series,AF0:JTCK-SWCLK | AF15:EVENTOUT,-,80
77,PA15,PA15,FT,P1-23,FREE,—,header only,AF0:JTDI | AF1:TIM2_CH1/TIM2_ETR | AF2:HRTIM_FLT1 | AF4:CEC | AF5:SPI1_NSS/I2S1_WS | AF6:SPI3_NSS/I2S3_WS | AF7:SPI6_NSS | AF8:UART4_RTS/UART4_DE | AF11:UART7_TX | AF15:EVENTOUT,-,80
78,PC10,PC10,FT_ha,P1-22,SHR-SD,microSD DAT2 (SDMMC1_D2),22R series; 47k pull-up; ESD,AF2:HRTIM_EEV1 | AF3:DFSDM1_CKIN5 | AF6:SPI3_SCK/I2S3_CK | AF7:USART3_TX | AF8:UART4_TX | AF9:QUADSPI_BK1_IO1 | AF12:SDMMC1_D2 | AF13:DCMI_D8 | AF14:LCD_R2 | AF15:EVENTOUT,-,82
79,PC11,PC11,FT_h,P1-21,SHR-SD,microSD CD/DAT3 (SDMMC1_D3),22R series; 47k pull-up; ESD,AF2:HRTIM_FLT2 | AF3:DFSDM1_DATIN5 | AF6:SPI3_MISO/I2S3_SDI | AF7:USART3_RX | AF8:UART4_RX | AF9:QUADSPI_BK2_NCS | AF12:SDMMC1_D3 | AF13:DCMI_D4 | AF15:EVENTOUT,-,82
80,PC12,PC12,FT_h,P1-20,SHR-SD,microSD CLK (SDMMC1_CK),22R series; ESD (no pull-up),AF0:TRACED3 | AF2:HRTIM_EEV2 | AF6:SPI3_MOSI/I2S3_SDO | AF7:USART3_CK | AF8:UART5_TX | AF12:SDMMC1_CK | AF13:DCMI_D9 | AF15:EVENTOUT,-,82
81,PD0,PD0,FT_h,P1-19,FREE,—,header only,AF3:DFSDM1_CKIN6 | AF6:SAI3_SCK_A | AF8:UART4_RX | AF9:FDCAN1_RX | AF12:FMC_D2/FMC_DA2 | AF15:EVENTOUT,-,82
82,PD1,PD1,FT_h,P1-18,FREE,—,header only,AF3:DFSDM1_DATIN6 | AF6:SAI3_SD_A | AF8:UART4_TX | AF9:FDCAN1_TX | AF12:FMC_D3/FMC_DA3 | AF15:EVENTOUT,-,82
83,PD2,PD2,FT_h,P1-17,SHR-SD,microSD CMD (SDMMC1_CMD),22R series; 47k pull-up; ESD,AF0:TRACED2 | AF2:TIM3_ETR | AF8:UART5_RX | AF12:SDMMC1_CMD | AF13:DCMI_D11 | AF15:EVENTOUT,-,82
84,PD3,PD3,FT_h,P1-16,SHR-CAM,camera DVP_D5 (DCMI_D5),direct trace to FPC,AF3:DFSDM1_CKOUT | AF5:SPI2_SCK/I2S2_CK | AF7:USART2_CTS/USART2_NSS | AF12:FMC_CLK | AF13:DCMI_D5 | AF14:LCD_G7 | AF15:EVENTOUT,-,82
85,PD4,PD4,FT_h,P1-15,SB,microSD card-detect via solder bridge SB2,SB2 [assumed open],AF2:HRTIM_FLT3 | AF6:SAI3_FS_A | AF7:USART2_RTS/USART2_DE | AF12:FMC_NOE | AF15:EVENTOUT,-,82
86,PD5,PD5,FT_h,P1-14,FREE,—,header only,AF2:HRTIM_EEV3 | AF7:USART2_TX | AF12:FMC_NWE | AF15:EVENTOUT,-,83
87,PD6,PD6,FT_h,P1-13,SB,U8 nCS via solder bridge SB3,SB3 [assumed open]; U8 nCS has 100k pull-up,AF2:SAI1_D1 | AF3:DFSDM1_CKIN4 | AF4:DFSDM1_DATIN1 | AF5:SPI3_MOSI/I2S3_SDO | AF6:SAI1_SD_A | AF7:USART2_RX | AF8:SAI4_SD_A | AF10:SAI4_D1 | AF11:SDMMC2_CK | AF12:FMC_NWAIT | AF13:DCMI_D10 | AF14:LCD_B2 | AF15:EVENTOUT,-,83
88,PD7,PD7,FT_h,P1-12,SHR-SPIFLASH,U8 W25Q64 DI (SPIx_MOSI),direct to U8 input,AF3:DFSDM1_DATIN4 | AF5:SPI1_MOSI/I2S1_SDO | AF6:DFSDM1_CKIN1 | AF7:USART2_CK | AF9:SPDIFRX1_IN1 | AF11:SDMMC2_CMD | AF12:FMC_NE1 | AF15:EVENTOUT,-,83
89,PB3,PB3,FT,P1-11,SHR-SPIFLASH,U8 W25Q64 CLK (SPIx_CLK),direct to U8 input,AF0:JTDO/TRACESWO | AF1:TIM2_CH2 | AF2:HRTIM_FLT4 | AF5:SPI1_SCK/I2S1_CK | AF6:SPI3_SCK/I2S3_CK | AF8:SPI6_SCK | AF9:SDMMC2_D2 | AF10:CRS_SYNC | AF11:UART7_RX | AF15:EVENTOUT,-,80
90,PB4,PB4,FT,P1-10,SHR-SPIFLASH,U8 W25Q64 DO (SPIx_MISO),direct; U8 DO hi-Z while nCS high,AF0:NJTRST | AF1:TIM16_BKIN | AF2:TIM3_CH1 | AF3:HRTIM_EEV6 | AF5:SPI1_MISO/I2S1_SDI | AF6:SPI3_MISO/I2S3_SDI | AF7:SPI2_NSS/I2S2_WS | AF8:SPI6_MISO | AF9:SDMMC2_D3 | AF11:UART7_TX | AF15:EVENTOUT,-,80
91,PB5,PB5,FT,P1-9,FREE,—,header only,AF1:TIM17_BKIN | AF2:TIM3_CH2 | AF3:HRTIM_EEV7 | AF4:I2C1_SMBA | AF5:SPI1_MOSI/I2S1_SDO | AF6:I2C4_SMBA | AF7:SPI3_MOSI/I2S3_SDO | AF8:SPI6_MOSI | AF9:FDCAN2_RX | AF10:OTG_HS_ULPI_D7 | AF11:ETH_PPS_OUT | AF12:FMC_SDCKE1 | AF13:DCMI_D10 | AF14:UART5_RX | AF15:EVENTOUT,-,80
92,PB6,PB6,FT_f,P1-8,OCC-QSPI,U7 W25Q64 nCS (QUADSPI_BK1_NCS),33R series; 100k pull-up to 3V3,AF1:TIM16_CH1N | AF2:TIM4_CH1 | AF3:HRTIM_EEV8 | AF4:I2C1_SCL | AF5:CEC | AF6:I2C4_SCL | AF7:USART1_TX | AF8:LPUART1_TX | AF9:FDCAN2_TX | AF10:QUADSPI_BK1_NCS | AF11:DFSDM1_DATIN5 | AF12:FMC_SDNE1 | AF13:DCMI_D5 | AF14:UART5_TX | AF15:EVENTOUT,-,80
